name,version,downloads,updated_at,repository,description
syn,2.0.117,1493422041,2026-02-20,https://github.com/dtolnay/syn,Parser for Rust source code
hashbrown,0.16.1,1337603327,2025-11-20,https://github.com/rust-lang/hashbrown,A Rust port of Google's SwissTable hash map
bitflags,2.11.0,1139738455,2026-02-14,https://github.com/bitflags/bitflags,A macro to generate structures which behave like bitflags.
getrandom,0.4.2,1066780335,2026-03-03,https://github.com/rust-random/getrandom,A small cross-platform library for retrieving random data from system source
proc-macro2,1.0.106,1031097949,2026-01-21,https://github.com/dtolnay/proc-macro2,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.
libc,0.2.183,1019448883,2026-03-08,https://github.com/rust-lang/libc,Raw FFI bindings to platform libraries like libc.
rand_core,0.10.0,1017163465,2026-02-01,https://github.com/rust-random/rand_core,Core random number generation traits and tools for implementation.
quote,1.0.45,1012458765,2026-03-03,https://github.com/dtolnay/quote,Quasi-quoting macro quote!(...)
rand,0.10.0,993466605,2026-02-08,https://github.com/rust-random/rand,Random number generators and other randomness functionality.
regex-syntax,0.8.10,953520335,2026-02-24,https://github.com/rust-lang/regex,A regular expression parser.
itertools,0.14.0,939630585,2024-12-31,https://github.com/rust-itertools/itertools,"Extra iterator adaptors, iterator methods, free functions, and macros."
indexmap,2.13.0,937080027,2026-01-07,https://github.com/indexmap-rs/indexmap,A hash table with consistent order and fast iteration.
cfg-if,1.0.4,909155474,2025-10-15,https://github.com/rust-lang/cfg-if,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
serde,1.0.228,891426008,2025-09-27,https://github.com/serde-rs/serde,A generic serialization/deserialization framework
rand_chacha,0.10.0,856801315,2026-02-02,https://github.com/rust-random/rand,ChaCha random number generator
thiserror-impl,2.0.18,851307397,2026-01-18,https://github.com/dtolnay/thiserror,Implementation detail of the `thiserror` crate
thiserror,2.0.18,851249966,2026-01-18,https://github.com/dtolnay/thiserror,derive(Error)
memchr,2.8.0,840173648,2026-02-06,https://github.com/BurntSushi/memchr,"Provides extremely fast (uses SIMD on x86_64, aarch64 and wasm32) routines for 1, 2 or 3 byte search and single substring search."
serde_derive,1.0.228,830626687,2025-09-27,https://github.com/serde-rs/serde,"Macros 1.1 implementation of #[derive(Serialize, Deserialize)]"
autocfg,1.5.0,824506565,2025-06-17,https://github.com/cuviper/autocfg,Automatic cfg for Rust compiler features
unicode-ident,1.0.24,823338183,2026-02-16,https://github.com/dtolnay/unicode-ident,Determine whether characters have the XID_Start or XID_Continue properties according to Unicode Standard Annex #31
windows-sys,0.61.2,818293622,2025-10-06,https://github.com/microsoft/windows-rs,Rust for Windows
itoa,1.0.18,817543042,2026-03-20,https://github.com/dtolnay/itoa,Fast integer primitive to string conversion
serde_json,1.0.149,797980864,2026-01-06,https://github.com/serde-rs/json,A JSON serialization file format
regex-automata,0.4.14,794963548,2026-02-03,https://github.com/rust-lang/regex,Automata construction and matching using regular expressions.
log,0.4.29,788129125,2025-12-02,https://github.com/rust-lang/log,A lightweight logging facade for Rust
once_cell,1.21.4,780616484,2026-03-12,https://github.com/matklad/once_cell,Single assignment cells and lazy values.
cc,1.2.57,768498291,2026-03-14,https://github.com/rust-lang/cc-rs,A build-time dependency for Cargo build scripts to assist in invoking the native C compiler to compile native C code into a static archive to be linked into Rust code.
regex,1.12.3,740087826,2026-02-03,https://github.com/rust-lang/regex,An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.
ryu,1.0.23,739531191,2026-02-08,https://github.com/dtolnay/ryu,Fast floating point to string conversion
clap,4.6.0,733779187,2026-03-12,https://github.com/clap-rs/clap,"A simple to use, efficient, and full-featured Command Line Argument Parser"
smallvec,1.15.1,728834443,2025-11-16,https://github.com/servo/rust-smallvec,'Small vector' optimization: store up to a small number of items on the stack
aho-corasick,1.1.4,726795572,2025-10-28,https://github.com/BurntSushi/aho-corasick,Fast multiple substring searching.
parking_lot_core,0.9.12,716110304,2025-10-03,https://github.com/Amanieu/parking_lot,An advanced API for creating custom synchronization primitives.
socket2,0.6.3,712276505,2026-03-06,https://github.com/rust-lang/socket2,Utilities for handling networking sockets with a maximal amount of configuration possible intended.
parking_lot,0.12.5,694597763,2025-10-03,https://github.com/Amanieu/parking_lot,More compact and efficient implementations of the standard synchronization primitives.
rustix,1.1.4,686531124,2026-02-22,https://github.com/bytecodealliance/rustix,Safe Rust bindings to POSIX/Unix/Linux/Winsock-like syscalls
windows_x86_64_msvc,0.53.1,648890184,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
linux-raw-sys,0.12.1,636432171,2025-12-23,https://github.com/sunfishcode/linux-raw-sys,Generated bindings for Linux's userspace API
either,1.15.0,630966879,2025-03-05,https://github.com/rayon-rs/either,The enum `Either` with variants `Left` and `Right` is a general purpose sum type with two cases.
bytes,1.11.1,629621164,2026-02-03,https://github.com/tokio-rs/bytes,Types and traits for working with bytes
semver,1.0.27,629279894,2025-09-14,https://github.com/dtolnay/semver,Parser and evaluator for Cargo's flavor of Semantic Versioning
windows_x86_64_gnu,0.53.1,622930294,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
lock_api,0.4.14,622329343,2025-10-03,https://github.com/Amanieu/parking_lot,Wrappers to create fully-featured Mutex and RwLock types. Compatible with no_std.
idna,1.1.0,621848782,2025-08-21,https://github.com/servo/rust-url/,IDNA (Internationalizing Domain Names in Applications) and Punycode.
mio,1.1.1,619926150,2025-12-04,https://github.com/tokio-rs/mio,Lightweight non-blocking I/O.
windows_aarch64_msvc,0.53.1,617694767,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
windows_i686_msvc,0.53.1,617499990,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
windows_i686_gnu,0.53.1,615941333,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
pin-project-lite,0.2.17,613095606,2026-02-27,https://github.com/taiki-e/pin-project-lite,A lightweight version of pin-project written with declarative macros.
digest,0.11.2,610202657,2026-03-13,https://github.com/RustCrypto/traits,Traits for cryptographic hash functions and message authentication codes
http,1.4.0,608052449,2025-11-24,https://github.com/hyperium/http,A set of types for representing HTTP requests and responses.
windows-targets,0.53.5,603522118,2025-10-06,https://github.com/microsoft/windows-rs,Import libs for Windows
anyhow,1.0.102,599342342,2026-02-20,https://github.com/dtolnay/anyhow,Flexible concrete Error type built on std::error::Error
time,0.3.47,595948744,2026-02-05,https://github.com/time-rs/time,Date and time library. Fully interoperable with the standard library. Mostly compatible with #![no_std].
block-buffer,0.12.0,593566607,2026-02-24,https://github.com/RustCrypto/utils,Buffer types for block processing of data
miniz_oxide,0.9.1,587982685,2026-03-13,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide,DEFLATE compression and decompression library rewritten in Rust based on miniz
tokio,1.50.0,582447028,2026-03-03,https://github.com/tokio-rs/tokio,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
windows_x86_64_gnullvm,0.53.1,577016061,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
windows_aarch64_gnullvm,0.53.1,577013609,2025-10-06,https://github.com/microsoft/windows-rs,Import lib for Windows
ppv-lite86,0.2.21,574361232,2025-03-09,https://github.com/cryptocorrosion/cryptocorrosion,Cross-platform cryptography-oriented low-level SIMD library.
crossbeam-utils,0.8.21,573150844,2024-12-15,https://github.com/crossbeam-rs/crossbeam,Utilities for concurrent programming
hyper,1.8.1,570849430,2025-11-13,https://github.com/hyperium/hyper,A protective and efficient HTTP library for all.
rustls,0.23.37,561157346,2026-02-24,https://github.com/rustls/rustls,Rustls is a modern TLS library written in Rust.
percent-encoding,2.3.2,559193119,2025-08-21,https://github.com/servo/rust-url/,Percent encoding and decoding
fastrand,2.3.0,554471189,2024-12-08,https://github.com/smol-rs/fastrand,A simple and fast random number generator
url,2.5.8,549391242,2026-01-05,https://github.com/servo/rust-url,"URL library for Rust, based on the WHATWG URL Standard"
slab,0.4.12,549182330,2026-01-31,https://github.com/tokio-rs/slab,Pre-allocated storage for a uniform data type
toml,1.1.0+spec-1.1.0,545936614,2026-03-23,https://github.com/toml-rs/toml,A native Rust encoder and decoder of TOML-formatted files and streams. Provides implementations of the standard Serialize/Deserialize traits for TOML data to facilitate deserializing and serializing R
futures-core,0.3.32,541424428,2026-02-15,https://github.com/rust-lang/futures-rs,The core traits and types in for the `futures` library.
generic-array,1.3.5,541213870,2025-10-24,https://github.com/fizyk20/generic-array.git,Generic types implementing functionality of arrays
futures-util,0.3.32,531710554,2026-02-15,https://github.com/rust-lang/futures-rs,Common utilities and extension traits for the futures-rs library.
futures-task,0.3.32,531046313,2026-02-15,https://github.com/rust-lang/futures-rs,Tools for working with tasks.
tracing-core,0.1.36,528528353,2025-12-18,https://github.com/tokio-rs/tracing,Core primitives for application-level tracing.
